model,uncertainty_type,dataset,unlabeled_size,auroc
llama3,montecarlosequenceentropy,trivia_qa,700,0.819847212192619
llama3,montecarlosequenceentropy,trivia_qa,800,0.8100509292691271
llama3,montecarlosequenceentropy,trivia_qa,900,0.8079700505492
llama3,montecarlosequenceentropy,trivia_qa,1000,0.8219470943711755
llama3,montecarlosequenceentropy,trivia_qa,1100,0.8327220554140853
llama3,montecarlosequenceentropy,trivia_qa,1200,0.8263749002318422
llama3,montecarlosequenceentropy,trivia_qa,1300,0.8494831059252784
llama3,montecarlosequenceentropy,trivia_qa,1400,0.8368553076659951
llama3,montecarlosequenceentropy,trivia_qa,1500,0.8446752308920225
llama3,montecarlosequenceentropy,trivia_qa,1600,0.84619550758238
llama3,montecarlosequenceentropy,trivia_qa,1700,0.8464710577325073
llama3,montecarlosequenceentropy,trivia_qa,1800,0.8494926076545932
llama3,montecarlosequenceentropy,trivia_qa,1900,0.8516209950210938
llama3,montecarlosequenceentropy,trivia_qa,2000,0.8501007183307362
llama3,montecarlosequenceentropy,trivia_qa,2100,0.8497966629926647
llama3,montecarlosequenceentropy,trivia_qa,2200,0.8495971266770552
llama3,montecarlosequenceentropy,trivia_qa,2300,0.8464520542738779
llama3,montecarlosequenceentropy,trivia_qa,2400,0.8559157766713541
llama3,montecarlosequenceentropy,trivia_qa,2500,0.8462620196875832
llama3,montecarlosequenceentropy,trivia_qa,2600,0.8510888981794686
llama3,montecarlosequenceentropy,trivia_qa,2700,0.8538063927634829
llama3,montecarlosequenceentropy,trivia_qa,2800,0.8466515905894872
llama3,montecarlosequenceentropy,trivia_qa,2900,0.8459199574322527
llama3,montecarlosequenceentropy,trivia_qa,3000,0.8530842613355633
llama3,montecarlosequenceentropy,trivia_qa,3100,0.8483428984075101
llama3,montecarlosequenceentropy,trivia_qa,3200,0.8500532096841625
llama3,montecarlosequenceentropy,trivia_qa,3300,0.8500532096841625
llama3,montecarlosequenceentropy,trivia_qa,3400,0.8500532096841625
llama3,montecarlosequenceentropy,trivia_qa,3500,0.8500532096841625
llama3,montecarlosequenceentropy,trivia_qa,3600,0.8500532096841625
llama3,montecarlosequenceentropy,trivia_qa,3700,0.8500532096841625
llama3,montecarlosequenceentropy,trivia_qa,3800,0.8500532096841625
llama3,montecarlosequenceentropy,trivia_qa,3900,0.8500532096841625
llama3,montecarlosequenceentropy,coqa,100,0.7699770040212863
